Last Name,ID,Availability,Midterm 1
Minahan,2631646e-1ce5-4d88-80ea-9e80a5f4c118,Yes,39
Taussig,e6b24243-bc78-4cc8-94bf-b96147d37638,Yes,36
Harris,1aa40c83-e1c6-4cc5-9c9c-4c234b7f6a75,Yes,34
Rosenbaum,2a66e2df-851e-430a-b992-378e0ca8039a,Yes,13
Hays,be6fb129-2a31-496a-a651-56f26676ec85,Yes,0
Caldwell,593c9e0b-3c46-469d-8495-6053ccdb31e0,Yes,9
Cairns,f734ae2e-8b37-4218-8e76-b247bfdbfa3e,Yes,44
Douglas,8fd01d64-de14-482b-bf5a-a51d4dcd3f62,Yes,23
Andrews,fb207a9a-d9af-4cb2-9752-918e68920b42,Yes,28
Newell,2af408f8-7d6a-4b63-9dcb-d453d402a7c6,Yes,24
LeRoy,976ef438-57fc-4ccf-85e9-6ced454aa564,Yes,44
Bowerman,765adfe8-e8da-4e6c-b4d6-f0f34cb9be15,Yes,19
Hilliard,9a37f348-fd64-4321-abb3-d4195eea5ba4,Yes,5
Stephenson,c1e196c2-fc53-41f4-b812-876eabac1510,Yes,24
Hogeboom,203467d2-61d6-46ae-b634-39103b3f2807,Yes,42
Fortune,ea773842-9814-4147-93c6-4abd4981cb01,Yes,1
Goldschmidt,47f59d2c-645a-4543-94ae-5e73e56968d7,Yes,31
Corbett,0feabbee-f3a9-44b4-88bf-a05ad710d677,Yes,12
Anderson,64ab0233-0044-44bf-8295-7a8dfb924261,Yes,0
Bucknell,137896ef-030b-4e59-ac55-94a8509bbebf,Yes,38
Carter,83a45bca-c9a3-4bd5-8cb9-23d575162623,Yes,17
Davies,8dd40776-da62-4bef-b35d-ab4960193683,Yes,35
Allison,dba2ddd3-ead5-402e-a4ab-f2089c2c8ab0,Yes,40
Harper,cbda1e9c-0138-40ef-a99a-0f1900a8dc98,Yes,14
Tucker,fc0cd2e1-9d5f-421b-a584-bc534ff1648a,Yes,35
Becker,8f3764cc-c32c-4188-bb3c-7abe58fa9e88,Yes,5
Carbines,08c9c1e5-4e5b-4e59-9e4d-3991029c300f,Yes,15
Hoyt,e43c1a2c-a9f3-42ff-9313-11418a659259,Yes,41
Compton,5db0c84a-9272-4601-a713-2451e788d7d1,Yes,39
Daniel,fe5146ab-3e2c-4b9f-9526-14a340c32277,Yes,33
Ringhini,49d0deef-b66e-43f0-9f52-ef88ea49800e,Yes,24
White,fa590309-a665-4394-b44c-7b0cbfcfd1e4,Yes,35
Burns,d98246bb-6a99-451c-8816-72f52903a9bf,Yes,29
Brown,8c0b8bb6-946c-4b75-9f8a-c3295d833d2f,Yes,1
Maguire,d8c693e9-e869-4b05-b6da-6782fadb1da5,Yes,39
Lesurer,df2fbe51-1511-431a-996d-3461d980c694,Yes,19
Mayne,a616bc76-8c77-4d9c-9ddb-2c46bc45a378,Yes,32
Crafton,89869f00-6732-4ccc-afff-b43f1cd3e78c,Yes,18
Banfield,e6ceb259-7040-4a5b-852d-98d96f6d45c1,Yes,37
Chapman,dfc7f493-d3f8-4138-9219-d74817fe167c,Yes,14
Williams-Lambert,c106dd34-94a0-42aa-8a9b-98cdec5947c5,Yes,37
Dibden,63efdd06-e46b-43a2-8fc9-167efe93ec60,Yes,25
Collander,1e6d2609-a67b-4772-b1ff-5c85b8bc0b9e,Yes,9
Rowe,8e229a00-f1b9-4f15-aad1-617a709d800e,Yes,15
Smith,e4888a95-641c-42cc-85eb-f211ecc4b6a2,Yes,8
Graham,72b1396a-10d3-4149-93a4-f9dafdabbf47,Yes,13
Kreuchen,ed78ecb4-4a7d-4396-af83-77af90b85004,Yes,26
Guggenheim,85076fb7-2f7d-47bd-a5ca-11b88e19f5f4,Yes,33
Carter,60963b14-a01a-409a-942e-9af2d642a82a,Yes,42
Dodge,35030dbf-272e-456a-ad77-9dac05f9f8ad,Yes,1
Warren,9d81209b-c89d-4e60-bf4b-cd66163f75d3,Yes,16
Isham,1f826275-c874-4e80-8bbc-b0b02823bdf6,Yes,5
Cook,08689fba-2bc1-439e-8e36-10ee31ec3d5c,Yes,15
Harder,337e997a-a7da-4174-a952-0e0eae6ff74c,Yes,15
Swift,ed50ffe1-a4ff-427c-8d0c-45511b46eacb,Yes,33
Douglas,e0b16b9f-8f68-48f8-b962-787ddcf764cb,Yes,27
Chapman,1c4f681a-8722-4ff3-982e-f224e9a7c9a6,Yes,40
Campbell,941ed10e-86b1-4a46-994a-5a8cfea5901e,Yes,27
Cardeza,324253a7-adae-4fbf-b9f5-1c07be6fc7d7,Yes,12
Compton,d814645e-cd06-461d-9fb5-cfd05f405604,Yes,2
Bishop,90759853-3cfa-42ce-b8e5-effac2b713f5,Yes,1
Bystrom,1e99b5f2-7b21-4f89-b212-4657b23bd0cd,Yes,37
Flynn,386ebc92-9773-473a-a590-f434c6b60f77,Yes,27
Widener,9343b4a8-7327-456c-8080-198efd04b66f,Yes,1
Frauenthal,3b5d4e3d-25ae-4ef8-a960-4baa68583f70,Yes,17
Clarke,b8ca83f6-a4e7-41e8-97d9-85588fb4108f,Yes,43
Straus,96916613-8303-4484-9375-3015758d5cc4,Yes,8
Porter,33430bbd-3e97-4a1f-9b53-f376d9586b7f,Yes,42
Ostby,c34a4ab3-2a8c-4ada-856f-24001e57a58b,Yes,30
Longley,5c892735-58ff-4c54-a740-3cda4a1fc44e,Yes,38
Chambers,3a003956-83e9-46f0-9098-6857ecbfcee2,Yes,37
Salomon,da74e5e7-212d-4e52-afb6-0ce9d5af4fab,Yes,28
Uruchurtu,990e0e8d-da53-401f-a3ef-d9939cdc3f95,Yes,8
Butler,7eb1bb64-0ccc-467e-ba99-ab48212d4e9f,Yes,18
Collyer,c6112586-cae3-4cbb-8f05-3cc6d674b878,Yes,12
Hays,ef87da23-a07d-41ad-a2f3-fd7618a09ffb,Yes,41
Lurette,22604e81-5f78-4b10-bdb0-359af17292af,Yes,3
Ryerson,8cdf4668-2748-49b9-832f-fdc66128a301,Yes,11
Clark,d89868b0-1286-4aaa-ad79-0db7e65b1bf9,Yes,33
Cotterill,fc1d21c6-ae02-48fa-89ec-b560ac88bd54,Yes,29
Thayer,1523e1b0-ed40-4682-9e9a-31aa1c470585,Yes,29
Compton,7ed49499-1cdf-4745-969a-e8778be57a66,Yes,15
Franklin,7109b7d1-2fc7-4ca9-949d-a8e0f993b70b,Yes,8
White,ef5b1afa-0b3b-4a91-b7f5-af143b66e259,Yes,2
McGough,3684bab3-257a-4667-9755-01cd7aa97380,Yes,4
Bentham,f2247e25-4430-481d-9a62-5f6dbe306029,Yes,14
Spedden,4338704a-dbaa-49bb-93eb-8af9be9d1f9b,Yes,9
Lewy,af1a8ba7-beed-47a2-afc7-a5192ecc9701,Yes,24
Saalfeld,3cf06480-1174-4e95-ba2f-d3c02449d34f,Yes,3
Rheims,44898235-b04e-4a5c-9ab9-ee89855174b3,Yes,26
Gracie,5e4b1103-558e-4cd6-b9b2-f0a4724196b2,Yes,30
Brown,b5c716a1-a9d8-487d-98da-497638ed2fad,Yes,32
Becker,2a6e6a1b-fea4-4591-bb0f-d2784a4e548d,Yes,6
Fortune,8722a8ea-5c0a-4a26-ad7a-d3045946e7a8,Yes,5
Astor,be4015b9-0cbb-4c5d-90b2-7388563dd5ed,Yes,6
Rothes,2803a07a-462f-443f-a2e4-d9bb54267067,Yes,25
Keeping,adea6fae-8d45-4cb4-903f-b4b93951adf2,Yes,29
