Crowdmark ID,Full Name,ID,Last Name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Total
0,"Minahan, Dr. William Edward",2631646e-1ce5-4d88-80ea-9e80a5f4c118,Minahan,1,0,4,1,6,6,21,39
1,"Taussig, Mrs. Emil (Tillie Mandelbaum)",e6b24243-bc78-4cc8-94bf-b96147d37638,Taussig,4,4,1,1,5,6,15,36
2,"Harris, Mr. Henry Birkhardt",1aa40c83-e1c6-4cc5-9c9c-4c234b7f6a75,Harris,6,1,3,4,2,0,7,23
3,"Rosenbaum, Miss. Edith Louise",2a66e2df-851e-430a-b992-378e0ca8039a,Rosenbaum,6,5,5,3,0,2,-8,13
4,"Hays, Miss. Margaret Bechstein",be6fb129-2a31-496a-a651-56f26676ec85,Hays,4,6,0,3,3,6,-22,0
5,"Caldwell, Master. Alden Gates",593c9e0b-3c46-469d-8495-6053ccdb31e0,Caldwell,2,5,3,3,2,5,-11,9
6,"Cairns, Mr. Alexander",f734ae2e-8b37-4218-8e76-b247bfdbfa3e,Cairns,3,5,1,6,4,0,15,34
7,"Douglas, Mrs. Walter Donald (Mahala Dutton)",8fd01d64-de14-482b-bf5a-a51d4dcd3f62,Douglas,3,0,4,3,1,1,-8,4
8,"Andrews, Miss. Kornelia Theodosia",fb207a9a-d9af-4cb2-9752-918e68920b42,Andrews,3,3,5,4,5,5,-13,12
9,"Newell, Mr. Arthur Webster",2af408f8-7d6a-4b63-9dcb-d453d402a7c6,Newell,0,3,1,3,2,1,14,24
10,"LeRoy, Miss. Bertha",976ef438-57fc-4ccf-85e9-6ced454aa564,LeRoy,2,6,2,3,2,0,29,44
11,"Bowerman, Miss. Elsie Edith",765adfe8-e8da-4e6c-b4d6-f0f34cb9be15,Bowerman,6,1,6,0,2,2,18,35
12,"Hilliard, Mr. Herbert Henry",9a37f348-fd64-4321-abb3-d4195eea5ba4,Hilliard,3,1,3,5,6,1,-14,5
13,"Stephenson, Mrs. Walter Bertram (Martha Eustis)",c1e196c2-fc53-41f4-b812-876eabac1510,Stephenson,4,5,2,0,0,2,11,24
14,"Hogeboom, Mrs. John C (Anna Andrews)",203467d2-61d6-46ae-b634-39103b3f2807,Hogeboom,3,3,6,0,3,1,26,42
15,"Fortune, Miss. Alice Elizabeth",ea773842-9814-4147-93c6-4abd4981cb01,Fortune,2,4,4,5,0,3,-17,1
16,"Goldschmidt, Mr. George B",47f59d2c-645a-4543-94ae-5e73e56968d7,Goldschmidt,3,6,4,1,5,2,10,31
17,"Corbett, Mrs. Walter H (Irene Colvin)",0feabbee-f3a9-44b4-88bf-a05ad710d677,Corbett,6,3,0,5,4,6,-12,12
18,"Anderson, Mr. Harry",64ab0233-0044-44bf-8295-7a8dfb924261,Anderson,3,5,6,1,5,4,-4,20
19,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",137896ef-030b-4e59-ac55-94a8509bbebf,Bucknell,4,6,0,0,1,3,24,38
20,"Carter, Mr. William Ernest",83a45bca-c9a3-4bd5-8cb9-23d575162623,Carter,0,0,2,2,4,4,-7,5
21,"Davies, Mrs. John Morgan (Elizabeth Agnes Mary White) ",8dd40776-da62-4bef-b35d-ab4960193683,Davies,5,3,1,5,3,2,16,35
22,"Allison, Master. Hudson Trevor",dba2ddd3-ead5-402e-a4ab-f2089c2c8ab0,Allison,3,5,5,1,3,5,18,40
23,"Harper, Mr. Henry Sleeper",cbda1e9c-0138-40ef-a99a-0f1900a8dc98,Harper,1,0,6,3,6,2,-4,14
24,"Tucker, Mr. Gilbert Milligan Jr",fc0cd2e1-9d5f-421b-a584-bc534ff1648a,Tucker,6,1,1,0,3,2,22,35
25,"Becker, Miss. Ruth Elizabeth",8f3764cc-c32c-4188-bb3c-7abe58fa9e88,Becker,6,6,4,5,2,1,-19,5
26,"Carbines, Mr. William",08c9c1e5-4e5b-4e59-9e4d-3991029c300f,Carbines,0,1,4,4,6,4,-4,15
27,"Hoyt, Mr. Frederick Maxfield",e43c1a2c-a9f3-42ff-9313-11418a659259,Hoyt,1,0,1,3,4,0,32,41
28,"Compton, Miss. Sara Rebecca",5db0c84a-9272-4601-a713-2451e788d7d1,Compton,3,2,0,0,3,4,2,14
29,"Daniel, Mr. Robert Williams",fe5146ab-3e2c-4b9f-9526-14a340c32277,Daniel,1,0,1,6,3,5,17,33
30,"Ringhini, Mr. Sante",49d0deef-b66e-43f0-9f52-ef88ea49800e,Ringhini,2,6,2,2,6,2,4,24
31,"White, Mrs. John Stuart (Ella Holmes)",fa590309-a665-4394-b44c-7b0cbfcfd1e4,White,1,6,5,2,4,3,14,35
32,"Burns, Miss. Elizabeth Margaret",d98246bb-6a99-451c-8816-72f52903a9bf,Burns,2,5,0,6,5,6,5,29
33,"Brown, Mrs. John Murray (Caroline Lane Lamson)",8c0b8bb6-946c-4b75-9f8a-c3295d833d2f,Brown,6,4,1,2,2,1,8,24
